State_Name,District_Name,Season,Crop,Area,Production,P/A
Andaman and Nicobar Islands,NICOBARS,Autumn,Rice,3.5,10,2.857142857
Andaman and Nicobar Islands,NICOBARS,Autumn,Sugarcane,13.4,41.75,3.115671642
Andaman and Nicobar Islands,NICOBARS,Kharif,Arecanut,1254,2030.5,1.619218501
Andaman and Nicobar Islands,NICOBARS,Kharif,Other Kharif pulses,2,1,0.5
Andaman and Nicobar Islands,NICOBARS,Kharif,Rice,80.205,217.7733333,2.715208944
Andaman and Nicobar Islands,NICOBARS,Rabi,Arecanut,944,1610,1.705508475
Andaman and Nicobar Islands,NICOBARS,Rabi,Black pepper,23,8.5,0.369565217
Andaman and Nicobar Islands,NICOBARS,Rabi,Cashewnut,1000.5,260.5,0.260369815
Andaman and Nicobar Islands,NICOBARS,Rabi,Dry chillies,12,25,2.083333333
Andaman and Nicobar Islands,NICOBARS,Rabi,Dry ginger,7,9.64,1.377142857
Andaman and Nicobar Islands,NICOBARS,Rabi,Maize,3.84,18.22,4.744791667
Andaman and Nicobar Islands,NICOBARS,Rabi,Moong(Green Gram),1.5,1.1,0.733333333
Andaman and Nicobar Islands,NICOBARS,Rabi,Sweet potato,22,208,9.454545455
Andaman and Nicobar Islands,NICOBARS,Rabi,Turmeric,2,0.5,0.25
Andaman and Nicobar Islands,NICOBARS,Rabi,Urad,1.5,1.16,0.773333333
Andaman and Nicobar Islands,NICOBARS,Whole Year,Arecanut,1095.074,1222.8625,1.11669394
Andaman and Nicobar Islands,NICOBARS,Whole Year,Banana,219.2028571,1295.588571,5.910454765
Andaman and Nicobar Islands,NICOBARS,Whole Year,Black pepper,57.332,9.2,0.160468848
Andaman and Nicobar Islands,NICOBARS,Whole Year,Cashewnut,636.9285714,158.9042857,0.249485253
Andaman and Nicobar Islands,NICOBARS,Whole Year,Coconut,16759.00125,62585000,3734.411083
Andaman and Nicobar Islands,NICOBARS,Whole Year,Dry chillies,110.6,71.25,0.644213382
Andaman and Nicobar Islands,NICOBARS,Whole Year,Dry ginger,59.21666667,174.4,2.945116803
Andaman and Nicobar Islands,NICOBARS,Whole Year,Sugarcane,1.8,10.875,6.041666667
Andaman and Nicobar Islands,NICOBARS,Whole Year,Sweet potato,11.33333333,44.66666667,3.941176471
Andaman and Nicobar Islands,NICOBARS,Whole Year,Tapioca,53.67666667,398,7.414767435
Andaman and Nicobar Islands,NICOBARS,Whole Year,Turmeric,6.25,35.515,5.6824
Andaman and Nicobar Islands,NICOBARS,Whole Year,other oilseeds,2.6,0.205,0.078846154
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Autumn,Rice,6791,20118,2.962450302
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Autumn,Sugarcane,73.33,889.2,12.12600573
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Kharif,Arecanut,3100,5219.5,1.683709677
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Kharif,Other Kharif pulses,543,323.5,0.595764273
